1,홍길동,89,57,14,160,53.3333333333,1
2,유관순,95,20,99,214,71.3333333333,1
3,이순신,61,1,61,123,41,1
4,강감찬,68,2,41,111,37,1
5,김구,57,87,39,183,61,1
6,김유신,73,59,83,215,71.6666666667,1
7,홍길자,93,66,78,237,79,1
8,홍길순,88,66,94,248,82.6666666667,1
9,vjacques8,71,4,5,80,26.6666666667,1
10,priba9,88,15,67,170,56.6666666667,1
11,rbahdea,83,10,79,172,57.3333333333,1
12,rchurcherb,89,99,29,217,72.3333333333,1
13,bballayc,78,47,45,170,56.6666666667,1
14,lhallmarkd,76,18,88,182,60.6666666667,1
15,kwoolstenholmese,94,24,47,165,55,1
16,gmagisterf,67,65,14,146,48.6666666667,1
17,jbritcherg,96,67,87,250,83.3333333333,1
18,oconstanzah,58,83,86,227,75.6666666667,1
19,framshawi,85,82,25,192,64,1
20,gdeenyj,94,59,20,173,57.6666666667,1
